Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,43.625,41.0,42.375,42.9375,1734000.0,39.14704132080078
2000-01-04,43.1875,41.0,42.5,41.5,1571900.0,37.83645248413086
2000-01-05,43.25,41.375,41.875,42.4375,2239400.0,38.69118118286133
2000-01-06,47.3125,42.4375,42.5,47.25,4630500.0,43.078826904296875
2000-01-07,47.5,44.25,47.25,47.5,3532800.0,43.3067741394043
2000-01-10,47.4375,45.75,47.4375,46.5,1437300.0,42.3950309753418
2000-01-11,46.5625,45.5,45.9375,45.625,1055100.0,41.5972785949707
2000-01-12,45.4375,44.125,44.875,45.25,1050900.0,41.25540542602539
2000-01-13,47.875,45.75,46.625,47.0,1900200.0,42.850914001464844
2000-01-14,47.9375,45.6875,47.1875,46.5625,1291100.0,42.452030181884766
2000-01-18,46.375,43.125,46.0,44.1875,2412200.0,40.28669738769531
2000-01-19,45.875,43.8125,43.9375,44.25,1876500.0,40.343685150146484
2000-01-20,43.625,41.8125,42.875,42.5,2111300.0,38.7481803894043
2000-01-21,42.3125,41.0,42.3125,41.75,2363300.0,38.06438064575195
2000-01-24,41.75,40.25,41.6875,41.0,1742000.0,37.38058090209961
2000-01-25,41.3125,40.25,40.875,40.25,1686500.0,36.696800231933594
2000-01-26,42.625,40.0625,40.3125,42.375,2031900.0,38.63420867919922
2000-01-27,42.3125,40.125,41.375,40.75,1519900.0,37.152671813964844
2000-01-28,40.25,38.25,40.0625,38.6875,1970600.0,35.27223587036133
2000-01-31,39.5625,38.0625,38.4375,39.5625,1489600.0,36.06999206542969
2000-02-01,39.4375,37.9375,39.0625,38.9375,1677800.0,35.50017166137695
2000-02-02,39.125,38.0,39.0,38.5625,1539000.0,35.158260345458984
2000-02-03,40.1875,38.25,38.9375,39.5,1491500.0,36.01300811767578
2000-02-04,40.1875,38.9375,39.625,39.1875,911100.0,35.72808837890625
2000-02-07,39.9375,38.75,39.25,39.1875,1038600.0,35.72808837890625
2000-02-08,39.9375,39.1875,39.1875,39.6875,1054400.0,36.1839485168457
2000-02-09,39.5,38.625,39.0,39.0625,1242900.0,35.61412811279297
2000-02-10,39.0,37.625,38.875,38.6875,1463200.0,35.27223587036133
2000-02-11,38.6875,36.9375,38.6875,37.125,1496000.0,33.84764862060547
2000-02-14,37.8125,36.0,36.5625,36.3125,1834400.0,33.10689163208008
2000-02-15,36.5625,35.0625,36.5,35.9375,2040700.0,32.7650032043457
2000-02-16,37.5625,35.375,36.0,36.4375,1787800.0,33.22087097167969
2000-02-17,37.375,35.375,36.0625,35.625,1452200.0,32.480079650878906
2000-02-18,37.4375,35.375,36.3125,36.8125,1602000.0,33.562740325927734
2000-02-22,37.0,35.6875,35.6875,36.0,1669000.0,32.82198715209961
2000-02-23,36.1875,35.125,36.0625,35.375,945600.0,32.25215148925781
2000-02-24,35.75,34.0,35.125,34.125,1451700.0,31.112504959106445
2000-02-25,34.9375,33.25,34.75,33.5625,1386500.0,30.599666595458984
2000-02-28,35.1875,33.1875,33.3125,34.75,1390700.0,31.68232536315918
2000-02-29,35.4375,34.1875,34.5,34.9375,2101100.0,31.8532657623291
2000-03-01,35.6875,34.1875,35.375,34.4375,1121500.0,31.39741325378418
2000-03-02,34.25,33.375,34.25,33.875,1307900.0,30.884571075439453
2000-03-03,35.6875,33.75,34.125,34.75,1691000.0,31.68232536315918
2000-03-06,34.5625,32.25,34.0625,32.75,1336900.0,29.858898162841797
2000-03-07,33.125,30.5625,32.5,31.0625,2191400.0,28.320354461669922
2000-03-08,34.25,31.8125,32.5,33.0625,1946000.0,30.143795013427734
2000-03-09,34.25,32.375,33.3125,33.375,1306300.0,30.4287109375
2000-03-10,33.875,32.6875,33.375,33.5625,1155700.0,30.599666595458984
2000-03-13,33.6875,32.6875,33.0,32.8125,1148000.0,29.91586685180664
2000-03-14,33.375,32.0,33.0,32.5,767900.0,29.630943298339844
2000-03-15,34.6875,32.0625,32.0625,33.8125,1697700.0,30.82758331298828
2000-03-16,35.9375,34.1875,34.625,35.5,2261200.0,32.366127014160156
2000-03-17,36.0,34.1875,35.3125,34.1875,2056400.0,31.16947364807129
2000-03-20,36.25,35.125,35.625,35.4375,1455600.0,32.30913162231445
2000-03-21,37.4375,35.0625,35.0625,36.625,2092000.0,33.39179229736328
2000-03-22,38.5,36.6875,37.125,37.25,2207400.0,33.96163558959961
2000-03-23,40.25,37.5,38.375,39.75,4524200.0,36.2409553527832
2000-03-24,40.8125,39.25,40.125,39.625,1836100.0,36.126956939697266
2000-03-27,39.75,38.5,39.625,38.78120040893555,991100.0,35.35764694213867
2000-03-28,39.8125,38.0625,38.25,38.375,1256600.0,34.9873161315918
2000-03-29,39.4375,37.5625,39.0,38.0625,1411800.0,34.70241165161133
2000-03-30,39.1875,37.75,37.8125,38.625,1530400.0,35.215240478515625
2000-03-31,39.5,38.5625,39.5,38.8125,1351400.0,35.386192321777344
2000-04-03,39.625,38.6875,39.0,39.1875,1009500.0,35.72808837890625
2000-04-04,39.9375,36.5625,39.1875,38.5,1714700.0,35.10128402709961
2000-04-05,39.6875,37.8125,37.8125,39.375,1198400.0,35.8990364074707
2000-04-06,39.8125,38.25,39.5,38.9375,1193500.0,35.50017166137695
2000-04-07,39.6875,37.4375,38.75,38.1875,1600000.0,34.81638717651367
2000-04-10,41.4375,38.75,38.9375,40.5,3331200.0,36.924720764160156
2000-04-11,41.625,40.5,40.9375,41.125,1422500.0,37.49455261230469
2000-04-12,42.4375,41.1875,41.625,41.5625,2123200.0,37.893436431884766
2000-04-13,41.1875,39.875,41.0,40.25,1481800.0,36.696800231933594
2000-04-14,39.3125,37.125,39.25,37.25,1988600.0,33.96163558959961
2000-04-17,38.0,36.25,37.5,36.25,1535100.0,33.04991149902344
2000-04-18,37.75,36.3125,36.375,37.5,1178500.0,34.18955612182617
2000-04-19,38.5,37.4375,38.0,38.1875,884300.0,34.81638717651367
2000-04-20,39.125,37.5,38.0625,38.0625,817400.0,34.70241165161133
2000-04-24,38.3125,36.875,38.25,37.25,801800.0,33.96163558959961
2000-04-25,39.6875,37.0625,37.4375,39.6875,1330200.0,36.1839485168457
2000-04-26,39.5,38.375,39.125,38.375,1109100.0,34.9873161315918
2000-04-27,38.625,36.9375,38.625,37.875,1322100.0,34.53145217895508
2000-04-28,38.1875,37.5,38.0,37.6875,977100.0,34.36051559448242
2000-05-01,37.625,36.875,37.4375,37.125,975300.0,33.84764862060547
2000-05-02,37.6875,36.5625,37.625,36.9375,1324700.0,33.67671203613281
2000-05-03,36.6875,35.75,36.1875,36.0,878800.0,32.82198715209961
2000-05-04,37.75,35.5625,35.625,37.0625,1724600.0,33.79066848754883
2000-05-05,39.5625,36.8125,36.8125,39.5625,1689600.0,36.06999206542969
2000-05-08,41.25,39.5,40.0,40.125,1870500.0,36.58282470703125
2000-05-09,40.8125,39.375,40.125,39.8125,1347000.0,36.297935485839844
2000-05-10,39.75,37.8125,39.5,38.5,1256000.0,35.10128402709961
2000-05-11,40.0625,38.5,39.25,39.5,1472000.0,36.01300811767578
2000-05-12,40.4375,38.5625,40.25,38.875,741600.0,35.443180084228516
2000-05-15,37.6875,36.1875,37.125,36.4375,2548500.0,33.22087097167969
2000-05-16,37.6875,36.3125,37.5,36.5,1806300.0,33.2778434753418
2000-05-17,36.8125,35.6875,36.25,36.0625,1334200.0,32.87896728515625
2000-05-18,37.0625,35.625,36.125,36.8125,1051600.0,33.562740325927734
2000-05-19,36.3125,35.8125,35.875,36.25,866900.0,33.04991149902344
2000-05-22,36.5625,35.5,35.875,36.25,910500.0,33.04991149902344
2000-05-23,36.5,35.75,36.375,36.0,545900.0,32.82198715209961
2000-05-24,36.6875,35.875,36.0625,36.125,692800.0,32.935943603515625
2000-05-25,36.1875,35.125,36.0625,35.1875,968200.0,32.081207275390625
2000-05-26,35.25,33.25,35.0625,33.8125,1146600.0,30.82758331298828
2000-05-30,35.75,34.5,34.5,35.5,1081200.0,32.366127014160156
2000-05-31,35.9375,35.1875,35.4375,35.5,1135000.0,32.366127014160156
2000-06-01,36.75,35.25,35.5,35.6875,1443700.0,32.53705596923828
2000-06-02,37.0,35.6875,36.25,36.6875,1130800.0,33.448787689208984
2000-06-05,37.75,36.0,36.0,37.4375,1006900.0,34.13258361816406
2000-06-06,37.25,36.5,37.25,36.875,769500.0,33.619728088378906
2000-06-07,37.125,36.125,36.625,36.75,574400.0,33.50578689575195
2000-06-08,36.5,36.125,36.5,36.125,459100.0,32.935943603515625
2000-06-09,36.8125,36.125,36.3125,36.3125,385200.0,33.10689163208008
2000-06-12,37.3125,35.875,36.9375,36.03120040893555,584300.0,32.85042190551758
2000-06-13,36.5,35.8125,35.9375,36.5,391600.0,33.2778434753418
2000-06-14,37.25,36.4375,36.5,37.1875,723000.0,33.90464782714844
2000-06-15,37.3125,36.0625,37.25,36.4375,593500.0,33.22087097167969
2000-06-16,36.625,35.625,36.5,35.75,1117000.0,32.59404373168945
2000-06-19,35.75,35.3125,35.5625,35.4375,607100.0,32.30913162231445
2000-06-20,35.4375,34.875,35.0,35.125,1221900.0,32.024227142333984
2000-06-21,35.6875,34.25,35.5625,34.4375,843400.0,31.39741325378418
2000-06-22,34.6875,34.0,34.6875,34.6875,995400.0,31.625335693359375
2000-06-23,34.8125,33.9375,34.3125,33.9375,686000.0,30.941556930541992
2000-06-26,34.5,33.375,34.3125,34.0625,725700.0,31.05551528930664
2000-06-27,37.4375,34.625,34.625,37.0,2797200.0,33.73369598388672
2000-06-28,39.25,37.25,37.625,39.0,2012600.0,35.55714416503906
2000-06-29,39.8125,38.0,38.125,38.9375,1537100.0,35.50017166137695
2000-06-30,40.1875,37.98429870605469,38.6875,38.0,2150700.0,34.64541244506836
2000-07-03,40.1875,38.625,38.75,39.8125,606200.0,36.297935485839844
2000-07-05,41.625,40.25,40.375,40.875,1231400.0,37.2666130065918
2000-07-06,40.4375,39.4375,40.25,39.9375,809900.0,36.41188049316406
2000-07-07,39.75,39.0,39.5625,39.3125,851600.0,35.84206771850586
2000-07-10,40.375,39.3125,39.5625,40.25,699200.0,36.696800231933594
2000-07-11,40.5,39.625,40.25,40.0,776700.0,36.4688720703125
2000-07-12,41.0625,39.4375,40.8125,41.0,1188500.0,37.38058090209961
2000-07-13,41.875,40.875,41.0,41.8125,1088600.0,38.12134552001953
2000-07-14,43.4375,42.25,42.5,42.4375,1549700.0,38.69118118286133
2000-07-17,42.0,40.75,42.0,40.9375,812600.0,37.3235969543457
2000-07-18,41.3125,40.5625,40.6875,40.9375,745300.0,37.3235969543457
2000-07-19,41.5,38.9375,39.9375,40.0,1316400.0,36.4688720703125
2000-07-20,40.4375,39.25,39.9375,39.75,697300.0,36.2409553527832
2000-07-21,40.375,39.75,39.75,40.0625,679200.0,36.52585220336914
2000-07-24,40.4375,39.0625,39.8125,39.6875,676300.0,36.1839485168457
2000-07-25,39.875,39.125,39.5,39.5625,736400.0,36.06999206542969
2000-07-26,39.25,38.6875,39.1875,38.875,651600.0,35.443180084228516
2000-07-27,39.25,38.4375,38.5,38.875,546500.0,35.443180084228516
2000-07-28,39.25,37.9375,38.3125,39.125,706500.0,35.67110824584961
2000-07-31,40.0,38.5625,39.0,39.625,909600.0,36.126956939697266
2000-08-01,40.1875,39.25,39.875,39.875,655800.0,36.35490417480469
